ID	GSM53276	GSM53277	GSM53278	GSM53279	GSM53280	GSM53281	GSM53282	GSM53283	GSM53274	GSM53268	GSM53269	GSM53270	GSM53271	GSM53272	GSM53273	GSM53275
CYTB	16.9556482291163	16.9556482291163	16.5910343196982	16.9556482291163	16.9556482291163	16.7250892137394	16.9556482291163	16.9556482291163	16.7981769836242	16.9556482291163	16.9556482291163	16.9556482291163	16.9556482291163	16.9556482291163	16.7981769836242	16.9556482291163
Gnas	16.7250892137394	16.7981769836242	16.9556482291163	16.7981769836242	16.6655078800432	16.9556482291163	16.7250892137394	16.7981769836242	16.5910343196982	16.7981769836242	16.6655078800432	16.7981769836242	16.7250892137394	16.6655078800432	16.7250892137394	16.7250892137394
Pabpc4	16.6655078800432	16.540870120959	16.7250892137394	16.6655078800432	16.7250892137394	16.6655078800432	16.5910343196982	16.6655078800432	16.6655078800432	16.6315752601039	16.540870120959	16.6655078800432	16.6655078800432	16.7250892137394	16.6655078800432	16.5910343196982
Mbp	16.6315752601039	16.6315752601039	16.7981769836242	16.7250892137394	16.7981769836242	16.6315752601039	16.6655078800432	16.4723069196518	16.7250892137394	16.7250892137394	16.5094347951655	16.7250892137394	16.7981769836242	16.7981769836242	16.6315752601039	16.3492120974532
ND5	16.7981769836242	16.6655078800432	16.6655078800432	16.6315752601039	16.6315752601039	16.4394097796249	16.7981769836242	16.7250892137394	16.4394097796249	16.6655078800432	16.7981769836242	16.5094347951655	16.540870120959	16.5910343196982	16.540870120959	16.7981769836242
Cst3	16.5094347951655	16.7250892137394	16.540870120959	16.3838507547648	16.5910343196982	16.5910343196982	16.5094347951655	16.540870120959	16.9556482291163	16.5910343196982	16.7250892137394	16.540870120959	16.1628002733637	16.3838507547648	16.9556482291163	16.6315752601039
Actb	16.5910343196982	16.5910343196982	16.6315752601039	16.5910343196982	16.5094347951655	16.7981769836242	16.6315752601039	16.5094347951655	16.6315752601039	16.4723069196518	16.6315752601039	16.5910343196982	16.5094347951655	16.5094347951655	16.4394097796249	16.6655078800432
Ndrg4	16.540870120959	16.4723069196518	16.4723069196518	16.4723069196518	16.540870120959	16.3492120974532	16.4394097796249	16.6315752601039	16.540870120959	16.540870120959	16.5910343196982	16.6315752601039	16.4723069196518	16.6315752601039	16.5094347951655	16.4723069196518
Cox8a	16.4723069196518	16.2299634264772	16.5094347951655	16.540870120959	16.4394097796249	16.2299634264772	16.3492120974532	16.5910343196982	16.5094347951655	16.3838507547648	16.3838507547648	16.277417853975	16.5910343196982	16.4723069196518	16.5910343196982	16.277417853975
Ubb	16.4394097796249	16.5094347951655	16.3838507547648	16.4394097796249	16.4723069196518	16.5094347951655	16.3838507547648	16.4394097796249	16.3838507547648	16.2539334794878	16.3492120974532	16.2539334794878	16.1794690164182	16.277417853975	16.3838507547648	16.3838507547648
ND2	16.307253107805	16.2007686172823	16.1628002733637	16.2299634264772	16.1794690164182	16.277417853975	16.307253107805	16.1628002733637	16.307253107805	16.4394097796249	16.4723069196518	16.4723069196518	16.6315752601039	16.540870120959	16.3492120974532	16.5094347951655
Apoe	16.3492120974532	16.3838507547648	16.4394097796249	16.5094347951655	16.2539334794878	16.540870120959	16.4723069196518	16.3838507547648	16.4723069196518	16.277417853975	16.4394097796249	16.4394097796249	16.4394097796249	16.2539334794878	16.4723069196518	16.4394097796249
COX1	16.1794690164182	16.1628002733637	16.3492120974532	16.277417853975	16.3492120974532	16.1794690164182	16.540870120959	16.2299634264772	16.3492120974532	16.2007686172823	16.277417853975	16.3838507547648	16.2299634264772	16.4394097796249	16.2539334794878	16.540870120959
Ywhah	16.2539334794878	16.277417853975	16.2539334794878	16.2007686172823	16.0396324039803	16.3838507547648	16.2299634264772	16.2539334794878	16.2007686172823	16.1628002733637	16.2539334794878	16.1794690164182	16.2007686172823	16.2007686172823	16.307253107805	16.307253107805
Atp1b1	16.277417853975	16.307253107805	16.2299634264772	16.2539334794878	16.277417853975	16.307253107805	16.2539334794878	16.3492120974532	16.1794690164182	16.307253107805	16.1421659570501	16.2007686172823	16.307253107805	16.1794690164182	16.1421659570501	16.2539334794878
Gapdh	16.2299634264772	16.1794690164182	16.1421659570501	16.1421659570501	16.2299634264772	16.0880130326694	16.0880130326694	16.307253107805	16.1421659570501	16.1794690164182	16.307253107805	16.1628002733637	16.1421659570501	16.2299634264772	16.2299634264772	16.1628002733637
Cox4i1	16.0701468587459	15.9835085760208	16.1794690164182	16.0880130326694	16.0102857012895	15.9188820399109	16.0102857012895	16.0880130326694	16.0396324039803	16.0880130326694	16.1144143912287	16.0102857012895	16.0880130326694	16.1628002733637	16.0880130326694	15.7123084201451
Psap	16.3838507547648	16.4394097796249	16.2007686172823	16.307253107805	16.3838507547648	16.4723069196518	16.1421659570501	16.1794690164182	16.1628002733637	16.1421659570501	16.0880130326694	16.1421659570501	16.277417853975	16.0701468587459	16.277417853975	16.0102857012895
ND4	15.9835085760208	15.9540105768402	16.0701468587459	16.0701468587459	15.9540105768402	16.0396324039803	16.2007686172823	15.7941429164097	15.9835085760208	16.1144143912287	16.1794690164182	16.3492120974532	16.3492120974532	16.307253107805	15.9835085760208	16.2299634264772
