GSM53274	GSM53276	GSM53277	GSM53278	GSM53279	GSM53280	GSM53281	GSM53282	GSM53283	GSM53275	GSM53268	GSM53269	GSM53270	GSM53271	GSM53272	GSM53273
CYTB	16.7705222966951	16.9524858057957	16.8883510576585	16.5835626670181	16.9524858057957	16.9524858057957	16.7705222966951	17.1159100207439	16.8883510576585	16.9524858057957	17.0212510612517	16.9524858057957	16.8883510576585	17.1159100207439	17.1159100207439	16.7705222966951
Gnas	16.5397912078235	16.7257794253193	16.8288551674478	16.8288551674478	16.8288551674478	16.668532276002	16.8883510576585	16.7705222966951	16.8288551674478	16.6900601624641	16.8288551674478	16.668532276002	16.7257794253193	16.8288551674478	16.6353513525727	16.668532276002
Pabpc4	16.6353513525727	16.6900601624641	16.5603650812783	16.7257794253193	16.6900601624641	16.7257794253193	16.6900601624641	16.6353513525727	16.6900601624641	16.6112087059205	16.6353513525727	16.5603650812783	16.6353513525727	16.6900601624641	16.6900601624641	16.6353513525727
Mbp	16.6900601624641	16.668532276002	16.6112087059205	16.7705222966951	16.7705222966951	16.7705222966951	16.668532276002	16.6900601624641	16.5176476296855	16.4032193826271	16.7705222966951	16.5397912078235	16.668532276002	16.9524858057957	16.7705222966951	16.6112087059205
ND5	16.4632193512573	16.7705222966951	16.6353513525727	16.6353513525727	16.6353513525727	16.6353513525727	16.4206898459818	16.8288551674478	16.7257794253193	16.7257794253193	16.6900601624641	16.7705222966951	16.5397912078235	16.5397912078235	16.5835626670181	16.5397912078235
Cst3	16.8883510576585	16.5176476296855	16.6900601624641	16.5176476296855	16.3562193892803	16.5603650812783	16.6353513525727	16.4799831353041	16.5835626670181	16.6353513525727	16.5835626670181	16.6900601624641	16.5603650812783	16.1488372661315	16.3710792245477	16.8883510576585
Actb	16.6112087059205	16.6112087059205	16.5835626670181	16.6112087059205	16.5835626670181	16.4632193512573	16.8288551674478	16.668532276002	16.5397912078235	16.668532276002	16.4993780736765	16.6112087059205	16.5835626670181	16.4993780736765	16.5397912078235	16.4799831353041
Ndrg4	16.5176476296855	16.5603650812783	16.4632193512573	16.4632193512573	16.438247474334	16.4799831353041	16.3287496945324	16.4032193826271	16.668532276002	16.4799831353041	16.5603650812783	16.5835626670181	16.6112087059205	16.438247474334	16.6112087059205	16.5176476296855
Cox8a	16.4993780736765	16.4993780736765	16.2848933445325	16.4993780736765	16.5176476296855	16.3710792245477	16.2334202374647	16.3710792245477	16.6112087059205	16.2487157860783	16.3421934051922	16.3861951435308	16.3005577680439	16.5835626670181	16.438247474334	16.5835626670181
Ubb	16.4206898459818	16.4799831353041	16.4993780736765	16.4206898459818	16.4206898459818	16.4032193826271	16.4993780736765	16.3861951435308	16.4799831353041	16.438247474334	16.259604990678	16.3287496945324	16.2848933445325	16.1717774241139	16.2487157860783	16.3861951435308
ND2	16.3421934051922	16.2749204711125	16.2487157860783	16.1970640856365	16.2487157860783	16.1616661115369	16.3005577680439	16.3005577680439	16.1717774241139	16.4993780736765	16.4799831353041	16.5176476296855	16.5176476296855	16.6112087059205	16.5603650812783	16.3710792245477
Apoe	16.4799831353041	16.3005577680439	16.4206898459818	16.438247474334	16.4993780736765	16.2749204711125	16.5603650812783	16.438247474334	16.3861951435308	16.4632193512573	16.2749204711125	16.4993780736765	16.4032193826271	16.3861951435308	16.2078043743296	16.4993780736765
COX1	16.3710792245477	16.1361940624295	16.1970640856365	16.3710792245477	16.3005577680439	16.3421934051922	16.1824793187056	16.5176476296855	16.2749204711125	16.5176476296855	16.2334202374647	16.2487157860783	16.3861951435308	16.2334202374647	16.4032193826271	16.2487157860783
Ywhah	16.1824793187056	16.2487157860783	16.3287496945324	16.2749204711125	16.2334202374647	16.0556935991748	16.3861951435308	16.220612060078	16.2848933445325	16.2749204711125	16.2078043743296	16.2334202374647	16.1717774241139	16.1824793187056	16.1824793187056	16.3287496945324
Atp1b1	16.1717774241139	16.259604990678	16.3562193892803	16.2487157860783	16.259604990678	16.2848933445325	16.3133911918886	16.2334202374647	16.3562193892803	16.220612060078	16.2848933445325	16.1361940624295	16.1824793187056	16.3133911918886	16.1717774241139	16.1488372661315
Gapdh	16.1242877789913	16.2078043743296	16.2078043743296	16.1824793187056	16.1488372661315	16.1970640856365	16.0974252184843	16.0974252184843	16.3133911918886	16.1488372661315	16.220612060078	16.259604990678	16.1488372661315	16.1361940624295	16.1970640856365	16.2334202374647
Cox4i1	16.0146721214127	16.0556935991748	16.0289048211596	16.2078043743296	16.0974252184843	16.0289048211596	15.9019446879832	15.9989301833131	16.1077547739371	15.6837334329834	16.0853911519053	16.0974252184843	15.9989301833131	16.1077547739371	16.1616661115369	16.069297944127
Psap	16.1361940624295	16.3421934051922	16.438247474334	16.220612060078	16.3133911918886	16.3562193892803	16.4632193512573	16.1361940624295	16.1824793187056	15.9581006463128	16.1616661115369	16.0853911519053	16.1361940624295	16.2848933445325	16.0289048211596	16.2749204711125
ND4	15.9712681027312	15.9989301833131	15.9989301833131	16.0556935991748	16.0853911519053	15.9849986215288	16.0556935991748	16.1970640856365	15.8713472980738	16.1970640856365	16.1488372661315	16.1616661115369	16.3287496945324	16.3287496945324	16.2848933445325	15.9989301833131
Rps29	16.2487157860783	15.9849986215288	15.8606190017691	16.3133911918886	16.1717774241139	16.1488372661315	15.7457272946919	16.1077547739371	16.3005577680439	16.0289048211596	15.9989301833131	16.0146721214127	15.9581006463128	15.9849986215288	16.0146721214127	16.1361940624295
Aldoa	16.0974252184843	16.069297944127	16.1616661115369	16.069297944127	16.1361940624295	15.8451283152462	16.1616661115369	15.8843607400167	16.1970640856365	16.0853911519053	15.9849986215288	16.1488372661315	16.1077547739371	15.9712681027312	16.0556935991748	16.220612060078
Sparc	16.2334202374647	15.9266552191962	16.0853911519053	15.9849986215288	16.1824793187056	16.1361940624295	15.9581006463128	16.1488372661315	15.8306797328994	16.1077547739371	16.3287496945324	16.1970640856365	16.3133911918886	16.2487157860783	16.3421934051922	16.1970640856365
Tuba1a	16.0556935991748	16.1488372661315	16.3005577680439	16.1077547739371	16.069297944127	16.0974252184843	16.0853911519053	16.2487157860783	16.1488372661315	16.1824793187056	16.2487157860783	16.069297944127	16.1242877789913	16.0146721214127	16.1488372661315	15.9152921631056
